platform,title,published by,developed by,released,genre,perspective,visual,art,gameplay,interface,userReviews,userReviewCount,averageUserReview,criticReviews,criticReviewCount,averageCriticReview
Wii U,Pinball FX2: Marvel Pinball - Avengers Chronicles,Zen Stúdió Kft,Zen Stúdió Kft,"Mar 21, 2013","DLC / Add-on, Simulation",1st-person,,,Pinball,,,0,,,0,
Wii U,Pinball FX2: Paranormal,Zen Stúdió Kft,Zen Stúdió Kft,"Mar 21, 2013","DLC / Add-on, Simulation",1st-person,,,Pinball,,,0,,,0,
Wii U,Pinball FX2: Plants vs. Zombies,Zen Stúdió Kft,,"Mar 21, 2013",DLC / Add-on,,,,,,,0,,,0,
Wii U,Pinball FX2: Star Wars Pinball,Zen Stúdió Kft,Zen Stúdió Kft,"Jul 11, 2013","Action, DLC / Add-on",1st-person,,,Pinball,,,0,,"[80.0, 80.0, 70.0]",3,76.66666666666667
Wii U,PING 1.5+,"Nami Tentou Mushi, LLC","Nami Tentou Mushi, LLC","Oct 16, 2014",Puzzle,,,,,,,0,,[80.0],1,80.0
Wii U,Ping Pong,"Konami Digital Entertainment Co., Ltd., Nintendo Co., Ltd.",Konami Industry Co. Ltd.,"Mar 18, 2015",Sports,Diagonal-down,,,,,,0,,,0,
Wii U,Pirate Pop Plus,13AM Games Inc.,dadako,"Oct 20, 2016",Action,Side view,Fixed / flip-screen,,Arcade,,,0,,"[72.0, 70.0]",2,71.0
Wii U,PixelJunk Monsters,Double Eleven Limited,"Double Eleven Limited, Q-Games Ltd.","May 19, 2016",Strategy,3rd-person (Other),,,,,,0,,"[80.0, 80.0, 70.0]",3,76.66666666666667
Wii U,PixelMaker,"Nostatic Software, LLC","Nostatic Software, LLC","May 05, 2016",Educational,,,,,,,0,,[70.0],1,70.0
Wii U,PixelMaker Studio,"Nostatic Software, LLC","Nostatic Software, LLC","Mar 21, 2019",Educational,,,,,,,0,,,0,
Wii U,Pixel Slime U,RCMADIAX LLC,,"Aug 27, 2015",Action,Side view,2D scrolling,,Platform,,,0,,"[50.0, 40.0, 26.0]",3,38.666666666666664
Wii U,PixlCross,PixlBit Studios,PixlBit Studios,"Mar 31, 2016",Puzzle,Top-down,Fixed / flip-screen,,,,,0,,[70.0],1,70.0
Wii U,Placards,"JH Specialty, Inc.",Wombat Source,"Feb 23, 2017",Puzzle,,Fixed / flip-screen,,,,,0,,,0,
Wii U,Plantera,Ratalaika Games S.L.,VaragtP Studios,"Feb 09, 2017",Strategy,Side view,2D scrolling,,Managerial / business simulation,,,0,,"[61.0, 60.0]",2,60.5
Wii U,Plenty of Fishies,Nitrolic Games,Nitrolic Games,"Dec 18, 2014",Action,Side view,2D scrolling,,Arcade,,,0,,"[50.0, 10.0]",2,30.0
Wii U,Pocky & Rocky with Becky,"Natsume, Inc.",Altron Corporation,"Oct 08, 2015",Action,Top-down,,Anime / Manga,"Arcade, Shooter",,,0,,,0,
