platform,title,published by,developed by,released,genre,perspective,visual,art,gameplay,interface,userReviews,userReviewCount,averageUserReview,criticReviews,criticReviewCount,averageCriticReview
Gamecube,Beyond Good & Evil,"Ubisoft, Inc.",Ubisoft Pictures SAS,"Dec 10, 2003","Action, Racing / Driving","1st-person, Behind view",,,"Puzzle elements, Shooter, Stealth",,"[4.17, 4.5]",2,4.335,"[100.0, 90.0, 90.0, 89.0, 88.0, 87.0, 85.0, 80.0, 80.0, 75.0]",10,86.4
Gamecube,Big Air FreeStyle,"Infogrames, Inc.",Paradigm Entertainment Inc.,"Sep 24, 2002","Racing / Driving, Sports",1st-person,,,,,,0,,"[67.0, 62.0, 50.0, 45.0, 43.0, 42.0, 40.0, 40.0, 20.0, 0.0]",10,40.9
Gamecube,Big Mutha Truckers,"Empire Interactive Entertainment, THQ Inc.",Eutechnyx Limited,"Aug 14, 2003",Racing / Driving,"1st-person, Behind view",,,Managerial / business simulation,,,0,,"[64.0, 63.0, 62.0]",3,63.0
Gamecube,Billy Hatcher and the Giant Egg,"SEGA of America, Inc.",Sonic Team,"Sep 23, 2003",Action,3rd-person (Other),,,Platform,,,0,,"[80.0, 79.0, 78.0, 77.0, 75.0, 71.0, 70.0, 67.0, 65.0, 60.0]",10,72.2
Gamecube,Bionicle,"Electronic Arts, Inc., LEGO Interactive","Argonaut Games PLC, Argonaut Sheffield","Sep 01, 2003",Action,Behind view,,,,,,0,,"[79.0, 68.0, 60.0, 47.0, 38.0, 35.0]",6,54.5
Gamecube,Bionicle Heroes,"Eidos, Inc.",Traveller's Tales (UK) Ltd.,"Nov 14, 2006",Action,Behind view,,,Shooter,,,0,,"[56.0, 52.0, 51.0, 45.0, 31.0]",5,47.0
Gamecube,Black & Bruised,"Majesco Sales, Inc.",Digital Fiction Inc.,"Jan 28, 2003","Action, Sports",3rd-person (Other),,,Fighting,,,0,,"[84.0, 69.0, 68.0, 68.0, 65.0, 62.0, 62.0, 61.0, 60.0, 55.0]",10,65.4
Gamecube,BloodRayne,"Majesco Sales, Inc.","Terminal Reality, Inc.","Oct 15, 2002",Action,Behind view,,,,,[3.29],1,3.29,"[80.0, 80.0, 80.0, 73.0, 72.0, 65.0, 60.0, 60.0, 55.0, 25.0]",10,65.0
Gamecube,Bloody Roar: Primal Fury,"Activision Publishing, Inc.","Eighting Co., Ltd.","Mar 19, 2002",Action,3rd-person (Other),,,Fighting,,,0,,"[85.0, 80.0, 80.0, 80.0, 78.0, 77.0, 75.0, 74.0, 71.0, 58.0]",10,75.8
Gamecube,Blowout,"Majesco Sales, Inc.","Terminal Reality, Inc.",2004,Action,Side view,2D scrolling,,,,,0,,"[67.0, 65.0, 64.0, 60.0]",4,64.0
