platform,title,published by,developed by,released,genre,perspective,visual,art,gameplay,interface,userReviews,userReviewCount,averageUserReview,criticReviews,criticReviewCount,averageCriticReview
Nintendo DS,FIFA Soccer 06 ,"Electronic Arts, Inc.",Exient Entertainment,"Sep 30, 2005","Simulation, Sports",,,,,,,0,,"[85.0, 84.0, 75.0]",3,81.33333333333333
Nintendo DS,FIFA Soccer 07,"Electronic Arts, Inc.",Exient Entertainment,"Oct 03, 2006",Sports,3rd-person (Other),,,,,,0,,"[79.0, 74.0, 71.0, 70.0, 60.0, 60.0]",6,69.0
Nintendo DS,FIFA Soccer 08,"Electronic Arts, Inc.","Electronic Arts Canada, Exient Entertainment","Sep 28, 2007",Sports,,,,,,,0,,[59.0],1,59.0
Nintendo DS,FIFA Soccer 09,"Electronic Arts, Inc.","Electronic Arts Canada, Exient Entertainment","Oct 14, 2008",Sports,,,,,,,0,,"[80.0, 56.0]",2,68.0
Nintendo DS,FIFA Soccer 10,"Electronic Arts, Inc.",Exient Entertainment,"Oct 20, 2009",Sports,Diagonal-down,2D scrolling,,,,,0,,"[80.0, 70.0, 55.0]",3,68.33333333333333
Nintendo DS,FIFA Soccer 11,"Electronic Arts, Inc.",Exient Entertainment,"Sep 28, 2010",Sports,Diagonal-down,2D scrolling,,,,,0,,"[70.0, 60.0, 50.0, 50.0, 46.0, 40.0]",6,52.666666666666664
Nintendo DS,FIFA Street 2,"Electronic Arts, Inc.",Exient Entertainment,"Feb 28, 2006",Sports,Diagonal-down,2D scrolling,,Tricks / stunts,,,0,,"[30.0, 28.0]",2,29.0
Nintendo DS,FIFA Street 3,"Electronic Arts, Inc.","Electronic Arts Canada, Exient Entertainment","Feb 19, 2008",Sports,Diagonal-down,2D scrolling,,Tricks / stunts,,,0,,"[70.0, 60.0, 60.0, 59.0, 58.0, 55.0, 55.0, 50.0, 50.0]",9,57.44444444444444
Nintendo DS,FIFA World Cup: Germany 2006,"Electronic Arts, Inc.",Exient Entertainment,"Apr 24, 2006",Sports,,,,,,,0,,,0,
Nintendo DS,Fifi and the Flowertots,GSP Software,Uacari SARL,"Jul 17, 2009","Action, Puzzle",,,,Mini-games,,,0,,,0,
Nintendo DS,Fifi and the Flowertots: Fifi's Garden Party,GSP Software,Uacari SARL,"Nov 04, 2011",Puzzle,,,,Mini-games,,,0,,,0,
Nintendo DS,Fighting Fantasy: The Warlock of Firetop Mountain,"Aspyr Media, Inc.",Big Blue Bubble Inc.,"Nov 25, 2009",Role-playing (RPG),1st-person,,,,,,0,,"[72.0, 70.0, 55.0, 52.0, 40.0, 40.0, 35.0, 16.0]",8,47.5
