platform,title,published by,developed by,released,genre,perspective,visual,art,gameplay,interface,userReviews,userReviewCount,averageUserReview,criticReviews,criticReviewCount,averageCriticReview
N64,Mario Tennis,Nintendo of America Inc.,Camelot Software Planning,"Aug 28, 2000",Sports,Diagonal-down,2D scrolling,,,,"[4.6, 3.2]",2,3.9,"[98.0, 91.0, 91.0, 90.0, 90.0, 87.0, 85.0, 83.0, 80.0, 80.0]",10,87.5
N64,Mega Man Legends,"Capcom Entertainment, Inc.","Capcom Co., Ltd.","Jan 16, 2001",Action,Behind view,,Anime / Manga,"Arcade, Metroidvania, Shooter",,,0,,"[75.0, 53.0, 50.0, 47.0, 45.0, 20.0]",6,48.333333333333336
N64,Mia Hamm Soccer 64,SouthPeak Interactive LLC,"DC Studios, Inc.",2000,Sports,Diagonal-down,,,,,,0,,"[78.0, 74.0, 69.0, 68.0, 55.0, 54.0, 50.0, 48.0, 40.0]",9,59.55555555555556
N64,Mickey's Speedway USA ,Nintendo of America Inc.,Rare Limited,"Nov 13, 2000",Racing / Driving,Behind view,,,Arcade,,,0,,"[86.0, 85.0, 75.0, 70.0, 70.0, 70.0, 68.0, 60.0, 58.0, 50.0]",10,69.2
N64,Micro Machines 64 Turbo,"Midway Home Entertainment, Inc.","Codemasters Software Company Limited, The","Mar 24, 1999",Racing / Driving,Top-down,,,,,,0,,"[92.0, 86.0, 85.0, 83.0, 80.0, 80.0, 80.0, 78.0, 70.0, 70.0]",10,80.4
N64,Midway's Greatest Arcade Hits Volume I,"Midway Home Entertainment, Inc.","Digital Eclipse Software, Inc.","Nov, 2000",Compilation,,,,,,,0,,"[65.0, 60.0, 60.0, 60.0, 59.0, 52.0]",6,59.333333333333336
N64,Mike Piazza's Strike Zone,GT Interactive Software Corp.,Devil's Thumb Entertainment,"Jun 16, 1998",Sports,3rd-person (Other),,,,,,0,,"[54.0, 50.0, 45.0, 30.0]",4,44.75
N64,Milo's Astro Lanes,"Crave Entertainment, Inc.",Player 1,"Nov 11, 1998","Simulation, Sports","1st-person, Behind view",,,,,,0,,"[80.0, 80.0, 61.0, 55.0, 53.0, 45.0, 40.0, 40.0, 22.0, 0.0]",10,47.6
N64,Mischief Makers,Nintendo of America Inc.,"Treasure Co., Ltd.","Oct 01, 1997",Action,"3rd-person (Other), Side view",,Anime / Manga,Platform,,,0,,"[92.0, 92.0, 81.0, 80.0, 80.0, 80.0, 80.0, 80.0, 77.0, 67.0]",10,80.9
N64,Mission: Impossible,"Infogrames Entertainment, Inc.",Infogrames Europe SA,"Jul 18, 1998",Action,"1st-person, 3rd-person (Other)",,,"Puzzle elements, Shooter, Stealth",,,0,,"[90.0, 88.0, 87.0, 84.0, 70.0, 70.0, 70.0, 66.0, 60.0, 59.0]",10,74.4
N64,Monaco Grand Prix Racing Simulation 2,Ubi Soft Entertainment Software,Ubi Soft Entertainment Software,"Sep, 1999","Racing / Driving, Sports","1st-person, Behind view",,,,,,0,,"[90.0, 89.0, 85.0, 85.0, 85.0, 82.0, 79.0, 70.0, 60.0, 60.0]",10,78.5
N64,Monopoly,"Hasbro Interactive, Inc.",Minds Eye Productions,"Dec 18, 1999",Strategy,3rd-person (Other),,,Board game,,,0,,"[74.0, 70.0, 70.0, 63.0, 60.0, 60.0, 50.0]",7,63.85714285714285
N64,Monster Truck Madness 64,"Rockstar Games, Inc.","Edge of Reality, Ltd.",1999,"Action, Racing / Driving, Sports","1st-person, Behind view",,,,,,0,,"[79.0, 73.0, 73.0, 70.0, 60.0, 60.0, 60.0, 45.0, 42.0, 39.0]",10,60.1
N64,Mortal Kombat 4,"Midway Home Entertainment, Inc.","Midway Games, Inc.","Jun 23, 2000",Action,Side view,,,"Arcade, Fighting",,[2.75],1,2.75,"[93.0, 90.0, 88.0, 85.0, 84.0, 80.0, 79.0, 75.0, 74.0, 67.0]",10,81.5
N64,Mortal Kombat Mythologies: Sub-Zero,"Midway Home Entertainment, Inc.","Midway Games, Inc., Avalanche Software LLC","Dec 08, 1997",Action,Side view,,,"Arcade, Fighting, Platform",,,0,,"[100.0, 90.0, 86.0, 77.0, 75.0, 70.0, 49.0, 43.0, 41.0, 25.0]",10,65.6
N64,Mortal Kombat Trilogy,"Williams Entertainment, Inc.","Midway Games, Inc.","Nov 14, 1996",Action,Side view,2D scrolling,,Fighting,,"[4.25, 4.5]",2,4.375,"[96.0, 91.0, 85.0, 75.0, 70.0, 60.0, 58.0, 55.0, 55.0, 40.0]",10,68.5
N64,MRC: Multi-Racing Championship,"Ocean of America, Inc.","Genki Co., Ltd.","Aug, 1997",Racing / Driving,3rd-person (Other),,,,,,0,,"[90.0, 90.0, 85.0, 78.0, 75.0, 75.0, 67.0, 64.0, 60.0, 55.0]",10,73.9
N64,Ms. Pac-Man Maze Madness,Namco Hometek Inc.,Namco Hometek Inc.,"Nov 12, 2000",Action,"Diagonal-down, Top-down",,,Puzzle elements,,,0,,"[80.0, 78.0, 75.0, 75.0, 70.0, 70.0, 70.0, 68.0]",8,73.25
