platform,title,published by,developed by,released,genre,perspective,visual,art,gameplay,interface,userReviews,userReviewCount,averageUserReview,criticReviews,criticReviewCount,averageCriticReview
Switch,Memories of East Coast,Eastasiasoft Limited,Roomah Gaming,"Dec 10, 2021",Adventure,,Fixed / flip-screen,,"Interactive fiction / text adventure, Visual novel",,,0,,,0,
Switch,Memories Off: Historia - Volume 1,MAGES. Inc.,CyberFront Corporation,"Mar 25, 2021","Adventure, Compilation",1st-person,,Anime / Manga,Visual novel,,,0,,,0,
Switch,Memories Off: Historia - Volume 2,MAGES. Inc.,5pb. Inc.,"Mar 25, 2021","Adventure, Compilation",1st-person,,Anime / Manga,Visual novel,,,0,,,0,
Switch,Memories Off: Innocent Fille,MAGES. Inc.,"5pb. Inc., Gloria Works, MAGES. Inc.","Oct 25, 2018",Adventure,1st-person,,Anime / Manga,Visual novel,,,0,,,0,
Switch,Memory Lane ,Playstige Interactive LLC,Playstige Interactive LLC,"Aug 06, 2020",Puzzle,Top-down,Fixed / flip-screen,,Cards / tiles,,,0,,,0,
Switch,Memory Lane 2,Playstige Interactive LLC,Playstige Interactive LLC,"Aug 03, 2021",Puzzle,Top-down,Fixed / flip-screen,,Cards / tiles,,,0,,,0,
Switch,The Men of Yoshiwara: Kikuya,D3Publisher Inc.,Dogenzaka Lab,"Feb 01, 2018",Simulation,,,Anime / Manga,"Dating simulation, Visual novel",,,0,,"[70.0, 50.0]",2,60.0
Switch,The Men of Yoshiwara: Ohgiya,D3Publisher Inc.,Dogenzaka Lab,"Mar 08, 2018",Simulation,,,Anime / Manga,"Dating simulation, Visual novel",,,0,,[50.0],1,50.0
Switch,Menseki: Area Maze Puzzles - Genius!,LLC Shinyuden,Happymeal Inc.,"Mar 03, 2022",Puzzle,,Fixed / flip-screen,,,,,0,,,0,
Switch,Mentori Puzzle,"ITL Co., Ltd.","ITL Co., Ltd.","Jan 03, 2019",Puzzle,Side view,2D scrolling,,"Arcade, Platform, Tile matching puzzle",,,0,,,0,
Switch,Meow Motors,ArtVostok,ArtVostok,"May 08, 2019",Racing / Driving,Behind view,,,Arcade,,,0,,[60.0],1,60.0
Switch,Mercenaries Rebirth: Call of the Wild Lynx,CIRCLE Entertainment Ltd.,Rideon Incorporated,"Nov 11, 2021","Role-playing (RPG), Strategy",Diagonal-down,2D scrolling,,Tactical RPG,,,0,,,0,
